Sl. No.,Name of Examination,Date of Notification,Last Date for Receipt of Applications,Date of Commencement of Exam,Duration,Year,Keywords,Category
1,UPSC Recruitment Examination,-,-,13.01.2024,2 DAYS,2024,"upsc exams 2024 , upsc recruitment , upsc recruitment 2024 , upsc countdown",
2,Engineering Services (Preliminary) Examination,06.09.2023,26.09.2023,18.02.2024,1 DAY,2024,"upsc exams 2024 , upsc ese , ese 2024 , ese prelims 2024 , ese 2024 countdown",
3,Combined Geo-Scientist (Preliminary) Examination,20.09.2023,10.10.2023,18.02.2024,1 DAY,2024,"upsc exams 2024 , upsc cgse , cgse , cgse 2024, upsc geoscientist, upsc geoscientist 2024",
4,UPSC Recruitment Examination,-,-,24.02.2024,2 DAYS,2024,"upsc exams 2024 , upsc recruitment , upsc recruitment 2024 , upsc countdown",
5,CISF AC(EXE) LDCE,29.11.2023,19.12.2023,10.03.2024,1 DAY,2024,"upsc exams 2024 , cisf ac exe ldce 2024 ",
6,UPSC Recruitment Examination,-,-,31.03.2024,2 DAYS,2024,"upsc exams 2024 , upsc recruitment , upsc recruitment 2024 , upsc countdown",
7,NDA and NA Examination (I),20.12.2023,09.01.2024,21.04.2024,1 DAY,2024,"upsc exams 2024, nda exam 2024 , nda examination , nda examination 2024, nda 1 2024 ,nda & na exam 2024",
8,Civil Services (Preliminary) Examination,14.02.2024,05.03.2024,26.05.2024,1 DAY,2024,"upsc exams 2024,upsc ias prelims , upsc ias prelims 2024 , upsc prelims 2024,upsc prelims",Popular
9,Indian Forest Service (Preliminary) Examination,14.02.2024,05.03.2024,26.05.2024,1 DAY,2024,"indian forest service exam 2024 , indian forest service examination, indian forest service examination countdown",Popular
10,IES or ISS Examination,10.04.2024,30.04.2024,21.06.2024,3 DAYS,2024,"iss exam , iss exam 2024 , iss upsc , indian economic service , indian economic service 2024",
11,Combined Geo-Scientist (Main) Examination,-,-,22.06.2024,2 DAYS,2024,"upsc exams 2024 , upsc cgse , cgse , cgse 2024, upsc geoscientist, upsc geoscientist 2024",
12,Engineering Services (Main) Examination,-,-,23.06.2024,1 DAY,2024,"upsc exams 2024 , upsc ese , ese 2024 , ese mains 2024 , ese 2024 countdown",
13,UPSC Recruitment Examination,-,-,06.07.2024,2 DAYS,2024,"upsc exams 2024 , upsc recruitment , upsc recruitment 2024 , upsc countdown",
14,Combined Medical Services Examination,10.04.2024,30.04.2024,14.07.2024,1 DAY,2024,"upsc cms ,combined medical service, combined medical service exmas 2024",
15,Central Armed Police Forces (ACs) Examination,24.04.2024,14.05.2024,04.08.2024,1 DAY,2024,"upsc capf, upsc capf 2024,upsc countdown",
16,UPSC Recruitment Examination,-,-,10.08.2024,2 DAYS,2024,"upsc exams 2024 , upsc recruitment , upsc recruitment 2024 , upsc countdown",
17,NDA and NA Examination (II),15.05.2024,04.06.2024,01.09.2024,1 DAY,2024,"upsc exams 2024, nda exam 2024 , nda examination , nda examination 2024, nda 2 2024 ,nda & na exam 2024",
18,CDS Examination (II),-,-,20.09.2024,5 DAYS,2024,"cds 2 2024 exam date, combined defence services examination ii 2024,combined defence services examination ii ",
19,Civil Services (Main) Examination,-,-,19.10.2024,2 DAYS,2024,"upsc exams 2024,upsc ias mains , upsc ias mains 2024 , upsc mains 2024,upsc mains",Popular
20,UPSC Recruitment Examination,-,-,19.10.2024,2 DAYS,2024,"upsc exams 2024 , upsc recruitment , upsc recruitment 2024 , upsc countdown",
21,Indian Forest Service (Main) Examination,-,-,24.11.2024,7 DAYS,2024,"indian forest service exam 2024 , indian forest service examination, indian forest service examination countdown",
22,Steno (GD B or GD I) LDCE,11.09.2024,01.10.2024,21.12.2024,2 DAYS,2024,"upsc so steno 2024,upsc so steno exam dates",
23,UPSC Recruitment Examination,-,-,21.12.2024,2 DAYS,2024,"upsc exams 2024 , upsc recruitment , upsc recruitment 2024 , upsc countdown",
24,UPSC Recruitment Examination,-,-,26.11.2023,10 DAYS,2023,"upsc exams 2023 , upsc recruitment , upsc recruitment 2023 , upsc countdown",
25,Indian Forest Service (Main) Examination,-,-,09.12.2023,2 DAYS,2023,"indian forest service exam 2023 , indian forest service examination, indian forest service examination countdown",
26,Steno (GD B or GD I) LDCE,13.09.2023,03.10.2023,17.12.2023,1 DAY,2023,"upsc so steno 2024,upsc so steno exam dates",
27,UPSC Recruitment Examination,-,-,17.12.2023,1 DAY,2023,"upsc exams 2023 , upsc recruitment , upsc recruitment 2023 , upsc countdown",
